year,region,gender,rank,name
2016,Česko,boy,117-131,Benedikt
2016,Česko,girl,127-136,Silvie
2016,Česko,boy,117-131,Luboš
2016,Česko,girl,127-136,Rebeka
2016,Česko,boy,117-131,Emil
2016,Česko,girl,127-136,Tina
2016,Česko,boy,132-164,Markus
2016,Česko,girl,127-136,Rosalie
2016,Česko,boy,132-164,Vendelín
2016,Česko,girl,127-136,Ludmila
2016,Česko,boy,132-164,Otakar
2016,Česko,girl,127-136,Elisabeth
2016,Česko,boy,132-164,Marcel
2016,Česko,girl,127-136,Berenika
2016,Česko,boy,132-164,Vladislav
2016,Česko,girl,127-136,Adina
2016,Česko,boy,132-164,Metoděj
2016,Česko,girl,137-152,Natali
2016,Česko,boy,132-164,Teo
2016,Česko,girl,137-152,Vanda
2016,Česko,boy,132-164,Vlastimil
2016,Česko,girl,137-152,Olívie
2016,Česko,boy,132-164,Ludvík
2016,Česko,girl,137-152,Zora
2016,Česko,boy,132-164,Marcus
2016,Česko,girl,137-152,Nelly
2016,Česko,boy,132-164,Matias
2016,Česko,girl,137-152,Lola
2016,Česko,boy,132-164,Simon
2016,Česko,girl,137-152,Tamara
2016,Česko,boy,132-164,Nataniel
2016,Česko,girl,137-152,Irena
2016,Česko,boy,132-164,Ota
2016,Česko,girl,137-152,Karin
2016,Česko,boy,132-164,Lukáš František
2016,Česko,girl,137-152,Emilie
2016,Česko,boy,132-164,Zbyněk
2016,Česko,girl,137-152,Anděla
2016,Česko,boy,132-164,Jeroným
2016,Česko,girl,137-152,Apolena
2016,Česko,boy,132-164,Daniil
2016,Česko,girl,137-152,Erika
2016,Česko,boy,132-164,Gia Huy
2016,Česko,girl,137-152,Jaroslava
2016,Česko,boy,132-164,Charles
2016,Česko,girl,137-152,Johanka
2016,Česko,boy,132-164,Adrien
2016,Česko,girl,137-152,Jennifer
2016,Česko,boy,132-164,Benjamín
2016,Česko,girl,153-183,Valentina
2016,Česko,boy,132-164,Attila
2016,Česko,girl,153-183,Libuše
2016,Česko,boy,132-164,Bohumil
2016,Česko,girl,153-183,Róza
2016,Česko,boy,132-164,Hoang Anh
2016,Česko,girl,153-183,Nicole
2016,Česko,boy,132-164,Joseph
2016,Česko,girl,153-183,Lily
2016,Česko,boy,132-164,Kvido
2016,Česko,girl,153-183,Marta
2016,Česko,boy,132-164,Duc Anh
2016,Česko,girl,153-183,Natalie
2016,Česko,boy,132-164,Leon
2016,Česko,girl,153-183,Zina
2016,Česko,boy,132-164,Juraj
2016,Česko,girl,153-183,Melánie
2016,Česko,boy,132-164,Arnošt
2016,Česko,girl,153-183,Pavla
2016,Česko,boy,132-164,Boris
2016,Česko,girl,153-183,Sophie
2016,Česko,boy,132-164,Fabián
2016,Česko,girl,153-183,Zdeňka
2016,Česko,boy,165-517,Trong Tiep
2016,Česko,girl,153-183,Taťána
2016,Česko,boy,165-517,Taigo Ryu
2016,Česko,girl,153-183,Zita
